iter	Passed	Remaining
459	793	931
460	794	929
461	795	926
462	797	924
463	798	922
464	799	919
465	800	917
466	801	915
467	802	912
468	804	910
469	805	908
470	807	906
471	808	904
472	810	903
473	811	901
474	813	898
475	814	896
476	816	894
477	817	892
478	819	890
479	820	889
480	822	886
481	823	884
482	824	882
483	825	880
484	827	878
485	828	875
486	829	873
487	830	871
488	831	869
489	833	867
490	834	865
491	836	863
492	837	861
493	838	859
494	840	857
495	841	855
496	842	852
497	844	850
498	845	848
499	846	846
500	847	844
501	849	842
502	850	840
503	851	838
504	853	836
505	854	834
506	855	831
507	856	829
508	857	827
509	858	825
510	860	823
511	861	820
512	862	818
513	863	816
514	865	814
515	866	812
516	867	810
517	868	808
518	869	806
519	870	803
520	872	801
521	873	799
522	874	797
523	875	795
524	877	793
525	878	791
526	879	789
527	881	787
528	882	785
529	883	783
530	885	781
531	886	779
532	887	777
533	889	775
534	890	773
535	891	771
536	893	770
537	894	768
538	896	766
539	897	764
540	898	762
541	900	760
542	901	758
543	902	756
544	903	754
545	905	752
546	906	750
547	907	748
548	908	746
549	909	744
550	911	742
551	912	740
552	913	738
553	915	736
554	916	734
555	917	732
556	918	730
557	919	728
558	920	726
559	921	724
560	923	722
561	924	720
562	926	719
563	927	717
564	929	715
565	930	713
566	931	711
567	932	709
568	933	707
569	935	705
570	936	703
571	937	701
572	938	699
573	939	697
574	941	695
575	942	693
576	943	691
577	945	690
578	946	688
579	947	686
580	948	684
581	950	682
582	951	680
583	952	678
584	954	676
585	955	675
586	956	673
587	957	671
588	959	669
589	960	667
590	961	665
591	962	663
592	963	661
593	965	659
594	966	657
595	967	655
596	968	654
597	970	652
598	972	650
599	973	648
600	974	647
601	975	645
602	977	643
603	978	641
604	979	639
605	981	638
606	982	636
607	983	634
608	985	632
609	986	630
610	988	629
611	990	627
612	991	625
613	992	624
614	994	622
615	995	620
616	996	618
617	997	616
618	998	614
619	1000	613
620	1002	611
621	1003	610
622	1005	608
623	1006	606
624	1007	604
625	1009	602
626	1010	601
627	1011	599
628	1013	597
629	1014	596
630	1016	594
631	1018	592
632	1019	591
633	1020	589
634	1022	587
635	1023	585
636	1024	584
637	1026	582
638	1027	580
639	1029	579
640	1031	577
641	1032	575
642	1034	574
643	1035	572
644	1037	570
645	1038	569
646	1040	567
647	1041	565
648	1043	564
649	1044	562
650	1046	560
651	1047	559
652	1049	557
653	1050	555
654	1051	553
655	1053	552
656	1054	550
657	1055	548
658	1057	547
659	1058	545
660	1059	543
661	1061	541
662	1062	540
663	1064	538
664	1065	536
665	1066	535
666	1068	533
667	1069	531
668	1070	529
669	1071	527
670	1072	526
671	1074	524
672	1075	522
673	1077	521
674	1078	519
675	1079	517
676	1081	515
677	1082	514
678	1083	512
679	1084	510
680	1086	508
681	1087	507
682	1088	505
683	1090	503
684	1091	502
685	1093	500
686	1094	498
687	1095	496
688	1097	495
689	1098	493
690	1099	491
691	1100	489
692	1102	488
693	1103	486
694	1104	484
695	1106	483
696	1107	481
697	1108	479
698	1110	477
699	1111	476
700	1112	474
701	1113	472
702	1115	471
703	1116	469
704	1117	467
705	1118	465
706	1120	464
707	1121	462
708	1123	461
709	1124	459
710	1125	457
711	1127	455
712	1128	454
713	1129	452
714	1130	450
715	1131	448
716	1133	447
717	1134	445
718	1135	443
719	1137	442
720	1138	440
721	1139	438
722	1141	437
723	1142	435
724	1143	433
725	1144	432
726	1146	430
727	1147	428
728	1148	427
729	1149	425
730	1151	423
731	1152	422
732	1154	420
733	1155	418
734	1156	417
735	1157	415
736	1159	413
737	1160	411
738	1161	410
739	1162	408
740	1164	406
741	1165	405
742	1166	403
743	1168	401
744	1169	400
745	1170	398
746	1172	396
747	1173	395
748	1174	393
749	1176	392
750	1177	390
751	1178	388
752	1180	387
753	1181	385
754	1183	383
755	1184	382
756	1185	380
757	1187	378
758	1188	377
759	1190	375
760	1191	374
761	1193	372
762	1194	371
763	1195	369
764	1197	367
765	1199	366
766	1200	364
767	1202	363
768	1203	361
769	1205	360
770	1206	358
771	1208	356
772	1209	355
773	1211	353
774	1213	352
775	1214	350
776	1216	349
777	1217	347
778	1218	345
779	1220	344
780	1221	342
781	1222	340
782	1224	339
783	1225	337
784	1227	336
785	1228	334
786	1229	332
787	1231	331
788	1232	329
789	1233	327
790	1235	326
791	1236	324
792	1237	323
793	1238	321
794	1240	319
795	1241	318
796	1242	316
797	1244	314
798	1245	313
799	1246	311
800	1247	310
801	1249	308
802	1250	306
803	1251	305
804	1252	303
805	1253	301
806	1255	300
807	1256	298
808	1257	296
809	1259	295
810	1260	293
811	1261	292
812	1262	290
813	1263	288
814	1264	287
815	1266	285
816	1267	283
817	1268	282
818	1269	280
819	1271	279
820	1272	277
821	1273	275
822	1275	274
823	1276	272
824	1277	270
825	1278	269
826	1279	267
827	1281	266
828	1282	264
829	1283	262
830	1284	261
831	1285	259
832	1287	258
833	1288	256
834	1289	254
835	1291	253
836	1292	251
837	1293	250
838	1294	248
839	1296	246
840	1297	245
841	1298	243
842	1299	242
843	1301	240
844	1302	238
845	1304	237
846	1305	235
847	1306	234
848	1307	232
849	1309	231
850	1310	229
851	1311	227
852	1313	226
853	1314	224
854	1315	223
855	1317	221
856	1319	220
857	1320	218
858	1321	216
859	1323	215
860	1324	213
861	1326	212
862	1327	210
863	1328	209
864	1329	207
865	1330	205
866	1332	204
867	1334	202
868	1335	201
869	1336	199
870	1338	198
871	1339	196
872	1340	195
873	1341	193
874	1342	191
875	1343	190
876	1345	188
877	1346	187
878	1348	185
879	1349	184
880	1350	182
881	1352	180
882	1353	179
883	1354	177
884	1356	176
885	1357	174
886	1358	173
887	1359	171
888	1360	169
889	1362	168
890	1363	166
891	1365	165
892	1366	163
893	1367	162
894	1369	160
895	1370	159
896	1371	157
897	1373	155
898	1374	154
899	1375	152
900	1376	151
901	1378	149
902	1380	148
903	1381	146
904	1382	145
905	1383	143
906	1385	142
907	1386	140
908	1387	138
909	1389	137
910	1390	135
911	1391	134
912	1393	132
913	1394	131
914	1396	129
915	1397	128
916	1398	126
917	1400	125
918	1401	123
919	1402	121
